num: 2 | cnt: 2 | st: 1 | dp[num][cnt][st]: 1
num: 3 | cnt: 2 | st: 1 | dp[num][cnt][st]: 1
num: 3 | cnt: 2 | st: 2 | dp[num][cnt][st]: 0
num: 3 | cnt: 3 | st: 1 | dp[num][cnt][st]: 1
num: 3 | cnt: 3 | st: 2 | dp[num][cnt][st]: 0
num: 4 | cnt: 2 | st: 1 | dp[num][cnt][st]: 1
num: 4 | cnt: 2 | st: 2 | dp[num][cnt][st]: 1
num: 4 | cnt: 2 | st: 3 | dp[num][cnt][st]: 0
num: 4 | cnt: 3 | st: 1 | dp[num][cnt][st]: 1
num: 4 | cnt: 3 | st: 2 | dp[num][cnt][st]: 0
num: 4 | cnt: 3 | st: 3 | dp[num][cnt][st]: 0
num: 4 | cnt: 4 | st: 1 | dp[num][cnt][st]: 1
num: 4 | cnt: 4 | st: 2 | dp[num][cnt][st]: 0
num: 4 | cnt: 4 | st: 3 | dp[num][cnt][st]: 0
num: 5 | cnt: 2 | st: 1 | dp[num][cnt][st]: 1
num: 5 | cnt: 2 | st: 2 | dp[num][cnt][st]: 1
num: 5 | cnt: 2 | st: 3 | dp[num][cnt][st]: 0
num: 5 | cnt: 2 | st: 4 | dp[num][cnt][st]: 0
num: 5 | cnt: 3 | st: 1 | dp[num][cnt][st]: 2
num: 5 | cnt: 3 | st: 2 | dp[num][cnt][st]: 0
num: 5 | cnt: 3 | st: 3 | dp[num][cnt][st]: 0
num: 5 | cnt: 3 | st: 4 | dp[num][cnt][st]: 0
num: 5 | cnt: 4 | st: 1 | dp[num][cnt][st]: 1
num: 5 | cnt: 4 | st: 2 | dp[num][cnt][st]: 0
num: 5 | cnt: 4 | st: 3 | dp[num][cnt][st]: 0
num: 5 | cnt: 4 | st: 4 | dp[num][cnt][st]: 0
num: 5 | cnt: 5 | st: 1 | dp[num][cnt][st]: 1
num: 5 | cnt: 5 | st: 2 | dp[num][cnt][st]: 0
num: 5 | cnt: 5 | st: 3 | dp[num][cnt][st]: 0
num: 5 | cnt: 5 | st: 4 | dp[num][cnt][st]: 0
num: 6 | cnt: 2 | st: 1 | dp[num][cnt][st]: 1
num: 6 | cnt: 2 | st: 2 | dp[num][cnt][st]: 1
num: 6 | cnt: 2 | st: 3 | dp[num][cnt][st]: 1
num: 6 | cnt: 2 | st: 4 | dp[num][cnt][st]: 0
num: 6 | cnt: 2 | st: 5 | dp[num][cnt][st]: 0
num: 6 | cnt: 3 | st: 1 | dp[num][cnt][st]: 2
num: 6 | cnt: 3 | st: 2 | dp[num][cnt][st]: 1
num: 6 | cnt: 3 | st: 3 | dp[num][cnt][st]: 0
num: 6 | cnt: 3 | st: 4 | dp[num][cnt][st]: 0
num: 6 | cnt: 3 | st: 5 | dp[num][cnt][st]: 0
num: 6 | cnt: 4 | st: 1 | dp[num][cnt][st]: 2
num: 6 | cnt: 4 | st: 2 | dp[num][cnt][st]: 0
num: 6 | cnt: 4 | st: 3 | dp[num][cnt][st]: 0
num: 6 | cnt: 4 | st: 4 | dp[num][cnt][st]: 0
num: 6 | cnt: 4 | st: 5 | dp[num][cnt][st]: 0
num: 6 | cnt: 5 | st: 1 | dp[num][cnt][st]: 1
num: 6 | cnt: 5 | st: 2 | dp[num][cnt][st]: 0
num: 6 | cnt: 5 | st: 3 | dp[num][cnt][st]: 0
num: 6 | cnt: 5 | st: 4 | dp[num][cnt][st]: 0
num: 6 | cnt: 5 | st: 5 | dp[num][cnt][st]: 0
num: 6 | cnt: 6 | st: 1 | dp[num][cnt][st]: 1
num: 6 | cnt: 6 | st: 2 | dp[num][cnt][st]: 0
num: 6 | cnt: 6 | st: 3 | dp[num][cnt][st]: 0
num: 6 | cnt: 6 | st: 4 | dp[num][cnt][st]: 0
num: 6 | cnt: 6 | st: 5 | dp[num][cnt][st]: 0
num: 7 | cnt: 2 | st: 1 | dp[num][cnt][st]: 1
num: 7 | cnt: 2 | st: 2 | dp[num][cnt][st]: 1
num: 7 | cnt: 2 | st: 3 | dp[num][cnt][st]: 1
num: 7 | cnt: 2 | st: 4 | dp[num][cnt][st]: 0
num: 7 | cnt: 2 | st: 5 | dp[num][cnt][st]: 0
num: 7 | cnt: 2 | st: 6 | dp[num][cnt][st]: 0
num: 7 | cnt: 3 | st: 1 | dp[num][cnt][st]: 3
num: 7 | cnt: 3 | st: 2 | dp[num][cnt][st]: 1
num: 7 | cnt: 3 | st: 3 | dp[num][cnt][st]: 0
